uniqname,section
student438,38
student439,19
student440,21
student441,49
student442,15
student443,32
student444,38
student445,31
student446,49
student447,48
student448,45
student449,38
student450,14
student451,29
student452,27
student453,48
student454,16
student455,25
student456,25
student457,20
student458,32
student459,11
student460,36
student461,42
student462,11
student463,28
student464,45
student465,44
student466,35
student467,11
student468,25
student469,20
student470,45
student471,34
student472,12
student473,28
student474,38
student475,46
student476,20
student477,48
student478,26
student479,21
student480,18
student481,15
student482,17
student483,18
student484,43
student485,37
student486,15
student487,28
student488,29
student489,30
student490,33
student491,49
student492,35
student493,12
student494,43
student495,36
student496,18
student497,25
student498,32
student499,13
student500,12
student501,48
student502,24
student503,23
student504,19
student505,35
student506,12
student507,35
student508,49
student509,43
student510,30
student511,42
student512,15
student513,41
student514,17
student515,15
student516,11
student517,13
student518,48
student519,48
student520,42
student521,38
student522,42
student523,42
student524,27
student525,12
student526,28
student527,37
student528,42
student529,49
student530,29
student531,46
student532,38
student533,35
student534,26
student535,48
student536,39
student537,43
student538,11
student539,45
student540,39
student541,46
student542,17
student543,19
student544,41
student545,14
student546,13
student547,30
student548,47
student549,19
student550,15
student551,12
student552,31
student553,42
student554,28
student555,11
student556,27
student557,19
student558,37
student559,36
student560,47
student561,17
student562,11
student563,36
student564,42
student565,41
student566,16
student567,20
student568,44
student569,42
student570,14
student571,29
student572,39
student573,20
student574,30
student575,28
student576,45
student577,47
student578,40
student579,33
student580,12
student581,43
student582,31
student583,13
student584,28
student585,24
student586,23
student587,41
student588,11
student589,39
student590,37
student591,19
student592,25
student593,12
student594,20
student595,45
student596,20
student597,40
student598,47
student599,32
student600,42
student601,14
student602,25
student603,46
student604,25
student605,39
student606,44
student607,23
student608,25
student609,49
student610,29
student611,20
student612,12
student613,12
student614,23
student615,12
student616,18
student617,14
student618,26
student619,36
student620,20
student621,39
student622,13
student623,21
student624,46
student625,41
student626,33
student627,25
student628,49
student629,13
student630,29
student631,37
student632,14
student633,45
student634,39
student635,26
student636,12
student637,20
student638,28
student639,36
student640,35
student641,47
student642,11
student643,35
student644,17
student645,29
student646,46
student647,15
student648,11
student649,14
student650,12
student651,30
student652,40
student653,26
student654,40
student655,42
student656,19
student657,39
student658,12
student659,19
student660,17
student661,15
student662,29
student663,35
student664,23
student665,26
student666,26
student667,40
student668,19
student669,28
student670,30
student671,47
student672,16
student673,25
student674,45
student675,23
student676,11
student677,17
student678,42
student679,16
student680,24
student681,12
student682,41
student683,23
student684,11
student685,24
student686,30
student687,18
student688,46
student689,19
student690,41
student691,16
student692,20
student693,49
student694,44
student695,34
student696,16
student697,32
student698,32
student699,40
student700,46
student701,45
student702,44
student703,49
student704,38
student705,49
student706,31
student707,28
student708,34
student709,44
student710,36
student711,23
student712,42
student713,33
student714,15
student715,31
student716,48
student717,26
student718,31
student719,29
student720,17
student721,46
student722,38
student723,45
student724,26
student725,26
student726,36
student727,19
student728,16
student729,16
student730,28
student731,16
student732,45
student733,26
student734,27
student735,23
student736,48
student737,40
student738,30
student739,19
student740,11
student741,29
student742,17
student743,44
student744,19
student745,24
student746,23
student747,16
student748,32
student749,11
student750,39
student751,35
student752,16
student753,27
student754,38
student755,36
student756,21
student757,36
student758,34
student759,41
student760,47
student761,14
student762,18
student763,31
student764,11
student765,32
student766,46
student767,13
student768,29
student769,38
student770,27
student771,21
student772,18
student773,31
student774,46
student775,37
student776,18
student777,23
student778,20
student779,15
student780,23
student781,30
student782,32
student783,19
student784,14
student785,18
student786,45
student787,25
student788,18
student789,47
student790,45
student791,16
student792,31
student793,46
student794,25
student795,27
student796,30
student797,42
student798,17
student799,12
student800,18
student801,33
student802,39
student803,45
student804,13
student805,49
student806,39
student807,30
student808,19
student809,29
student810,27
student811,31
student812,45
student813,37
student814,48
student815,39
student816,23
student817,46
student818,11
student819,23
student820,41
student821,35
student822,44
student823,21
student824,14
student825,13
student826,30
student827,46
student828,21
student829,13
student830,17
student831,15
student832,11
student833,19
student834,42
student835,29
student836,31
student837,19
student838,49
student839,13
student840,14
student841,46
student842,14
student843,30
student844,48
student845,20
student846,12
student847,38
student848,15
student849,40
student850,37
student851,21
student852,43
student853,42
student854,39
student855,45
student856,29
student857,13
student858,46
student859,39
student860,45
student861,37
student862,32
student863,14
student864,18
student865,27
student866,32
student867,44
student868,13
student869,24
student870,43
student871,31
student872,31
student873,29
student874,41
student875,17
student876,20
student877,37
student878,26
student879,15
student880,48
student881,27
student882,35
student883,18
student884,39
student885,36
student886,29
student887,30
student888,20
student889,46
student890,43
student891,17
student892,19
student893,48
student894,31
student895,30
student896,18
student897,32
student898,42
student899,38
student900,14
student901,25
student902,32
student903,25
student904,47
student905,13
student906,21
student907,44
student908,39
student909,43
student910,15
student911,40
student912,21
student913,15
student914,38
student915,40
student916,30
student917,36
student918,35
student919,30
student920,42
student921,45
student922,44
student923,40
student924,15
student925,12
student926,38
student927,30
student928,17
student929,19
student930,47
student931,36
student932,18
student933,36
student934,27
student935,33
student936,29
student937,48
student938,45
student939,35
student940,35
student941,13
student942,47
student943,44
student944,46
student945,49
student946,47
student947,20
student948,28
student949,47
student950,14
student951,41
student952,40
student953,11
student954,18
student955,28
student956,33
student957,13
student958,38
student959,41
student960,47
student961,38
student962,29
student963,13
student964,12
student965,12
student966,45
student967,16
student968,25
student969,16
student970,23
student971,31
student972,11
student973,49
student974,33
student975,22
student976,20
student977,27
student978,40
student979,16
student980,46
student981,42
student982,46
student983,40
student984,34
student985,48
student986,12
student987,48
student988,37
student989,34
student990,44
student991,45
student992,36
student993,26
student994,41
student995,44
student996,18
student997,44
student998,19
student999,26
student1000,25
student1001,17
student1002,14
student1003,44
student1004,18
student1005,39
student1006,49
student1007,49
student1008,34
student1009,42
student1010,18
student1011,48
student1012,28
student1013,12
student1014,15
student1015,47
student1016,34
student1017,43
student1018,31
student1019,41
student1020,16
student1021,19
student1022,41
student1023,36
student1024,32
student1025,40
student1026,18
student1027,31
student1028,42
student1029,40
student1030,20
student1031,30
student1032,23
student1033,43
student1034,20
student1035,37
student1036,36
student1037,33
student1038,25
student1039,35
student1040,46
student1041,38
student1042,34
student1043,44
student1044,17
student1045,43
student1046,40
student1047,45
student1048,27
student1049,39
student1050,33
student1051,31
student1052,29
student1053,37
student1054,48
student1055,34
student1056,35
student1057,40
student1058,36
student1059,44
student1060,49
student1061,49
student1062,24
student1063,32
student1064,36
student1065,25
student1066,16
student1067,31
student1068,40
student1069,40
student1070,39
student1071,32
student1072,46
student1073,41
student1074,45
student1075,12
student1076,34
student1077,35
student1078,39
student1079,29
student1080,23
student1081,37
student1082,26
student1083,37
student1084,28
student1085,35
student1086,48
student1087,39
student1088,25
student1089,28
student1090,39
student1091,39
student1092,26
student1093,44
student1094,13
student1095,31
student1096,43
student1097,39
student1098,23
student1099,33
student1100,25
student1101,35
student1102,23
student1103,28
student1104,47
student1105,14
student1106,35
student1107,48
student1108,43
student1109,43
student1110,19
student1111,49
student1112,33
student1113,41
student1114,26
student1115,29
student1116,43
student1117,21
student1118,13
student1119,47
student1120,18
student1121,47
student1122,32
student1123,28
student1124,43
student1125,18
student1126,22
student1127,37
student1128,35
student1129,15
student1130,27
student1131,37
student1132,36
student1133,13
student1134,42
student1135,26
student1136,34
student1137,32
student1138,43
student1139,42
student1140,14
student1141,22
student1142,25
student1143,30
student1144,21
student1145,20
student1146,14
student1147,26
student1148,48
student1149,41
student1150,20
student1151,28
student1152,49
student1153,47
student1154,38
student1155,23
student1156,12
student1157,29
student1158,19
student1159,17
student1160,45
student1161,32
student1162,37
student1163,20
student1164,45
student1165,30
student1166,47
student1167,14
student1168,43
student1169,28
student1170,32
student1171,18
student1172,44
student1173,11
student1174,24
student1175,38
student1176,44
student1177,17
student1178,23
student1179,25
student1180,24
student1181,12
student1182,33
student1183,44
student1184,11
student1185,11
student1186,18
student1187,39
student1188,15
student1189,13
student1190,27
student1191,14
student1192,23
student1193,24
student1194,11
student1195,46
student1196,32
student1197,36
student1198,16
student1199,15
student1200,18
student1201,23
student1202,31
student1203,36
student1204,49
student1205,17
student1206,26
student1207,47
student1208,20
student1209,12
student1210,43
student1211,28
student1212,15
student1213,35
student1214,45
student1215,24
student1216,49
student1217,29
student1218,19
student1219,35
student1220,13
student1221,48
student1222,27
student1223,31
student1224,19
student1225,24
student1226,48
student1227,37
student1228,47
student1229,24
student1230,13
student1231,19
student1232,49
student1233,18
student1234,35
student1235,20
student1236,30
student1237,12
student1238,46
student1239,13
student1240,15
student1241,12
student1242,15
student1243,12
student1244,28
student1245,11
student1246,11
student1247,11
student1248,11
